set,npts,k,QQ,xB,t,ReH_km15,ReE_km15,ReHt_km15,dvcs_km15,fit_ReH,efit_ReH_low,efit_ReH_high,fit_ReE,efit_ReE_low,efit_ReE_high,fit_ReHt,efit_ReHt_low,efit_ReHt_high,fit_dvcs,efit_dvcs_low,efit_dvcs_high,xmi_ReH,exmi_ReH,xmi_ReE,exmi_ReE,xmi_ReHt,exmi_ReHt,xmi_dvcs,exmi_dvcs,sys_ReH,sys_ReE,sys_ReHt,sys_dvcs
71,24,5.55,1.74,0.359,-0.302,-2.48537,1.89581,0.983422,0.0270587,-2.02855,1.78916,1.78916,10.5151,10.6428,0.859794,-1.16892,2.76477,2.94214,0.0260762,0.00683052,0.00683052,-3.24409,0.165781,-0.797545,2.1028,1.18743,0.522672,0.0320025,0.000938211,0.664705,2.81037,1.74742,0.00350819
72,24,5.55,1.75,0.361,-0.363,-2.43459,1.77036,0.837443,0.0237687,-3.74442,2.22949,1.22531,-7.08142,3.12685e-06,17.7035,5.02406,1.40643,0.000598628,0.0362903,0.00370844,0.00711131,-3.49633,0.185819,0.811798,1.99899,0.354246,0.534326,0.0301614,0.00143122,0.932292,3.3562,1.45025,0.00409517
73,24,5.55,1.98,0.357,-0.182,-2.5212,2.18492,1.34907,0.0233057,0.0205064,2.65785,1.94138,13.063,20.4438,0.046541,-5.3483,0.0479966,3.97834,0.0193939,0.0263036,0.0263036,-2.71831,0.424229,3.82014,3.39561,2.42472,0.933171,0.0244012,0.00184827,1.02822,1.52005,2.09475,0.00491108
74,24,5.55,1.98,0.356,-0.242,-2.52259,2.03268,1.15228,0.0203913,-1.84287,2.26503,2.26503,-1.76231,11.5151,11.5151,-0.053401,2.76282e-05,8.98524,0.0166153,0.00882448,0.00882448,-2.86712,0.275008,2.00176,2.55235,1.47262,0.714357,0.0210255,0.000982969,1.0217,3.42577,1.94492,0.00453532
75,24,5.55,1.98,0.356,-0.302,-2.49604,1.89581,0.983138,0.0180454,-1.77923,2.31283,2.43625,11.3393,18.9225,0.0355671,-3.82517,0.00502044,4.65613,0.0122101,0.00677195,0.00977348,-2.42805,0.262389,1.23643,2.33693,1.39239,0.683189,0.0174627,0.000679819,0.62697,3.50807,1.32511,0.00214101
76,24,5.55,1.99,0.358,-0.363,-2.44509,1.77036,0.836032,0.0158615,-1.97428,1.25336,2.85626,10.6221,17.7035,3.74906e-06,-3.33037,0.0137595,2.72844,0.011746,0.0167567,0.0167567,-2.07848,0.269636,0.484231,1.90452,1.40412,0.578745,0.017006,0.000711224,0.966311,3.40131,1.50853,0.00296105
77,12,3.355,1.49,0.357,-0.177,-2.51996,2.19838,1.36695,0.0483786,-1.00974,5.89702,1.87632,10.0977,18.8913,3.09251,-5.46772,6.35622e-05,10.9781,0.0561199,0.0929392,0.0929392,-3.68229,0.517053,2.19175,5.17697,1.84603,1.40092,0.0696988,0.00494403,0.724721,4.26606,2.1326,0.00821674
78,12,3.355,1.5,0.359,-0.236,-2.51366,2.04717,1.16982,0.0415928,-2.53976,4.90362,3.19524,-1.5113,6.6774,13.7943,0.0348916,4.71419,6.98406,0.049082,0.0332183,0.0513632,-3.44635,0.333239,1.91013,2.96184,1.32651,0.835057,0.0587105,0.00312931,0.752867,2.68264,1.55241,0.00850022
79,10,3.355,1.5,0.36,-0.296,-2.48546,1.90886,0.999178,0.0368822,-2.17882,4.74572,3.2699,0.943102,14.6477,14.6477,0.651482,0.222748,9.76903,0.0508767,0.0393176,0.0393176,-2.41887,0.417373,1.33414,2.91238,1.72988,0.896447,0.0563313,0.00229588,0.676673,3.30548,1.37221,0.00623308
80,24,4.455,1.74,0.357,-0.181,-2.52116,2.1876,1.35263,0.0324455,-0.480574,6.79927,5.47226,12.926,21.6764,0.199622,-5.40777,0.00275109,10.0573,0.0316308,0.0519132,0.0519132,-3.19282,0.309251,2.25381,3.36007,2.57394,0.870779,0.0409468,0.00221877,0.897943,4.10436,2.48709,0.00640995
81,24,4.455,1.74,0.357,-0.24,-2.51963,2.03749,1.15812,0.0284711,-0.932681,1.24885,2.18023,-1.06517,10.7737,10.7737,-4.63018,2.49767e-06,2.51768,0.0262217,0.0125215,0.0125215,-2.75944,0.287931,1.91453,2.77503,2.11238,0.722521,0.0342636,0.00184747,1.00154,4.0033,1.53918,0.0066311
82,24,4.455,1.74,0.358,-0.301,-2.48958,1.89797,0.985933,0.0251748,-2.18305,1.81714,2.04115,11.3878,18.9797,6.77758e-07,-3.92271,0.021017,2.31151,0.0193864,0.0100379,0.0100379,-2.91377,0.266441,1.16717,2.19327,1.66242,0.68802,0.0309042,0.00104315,0.704497,2.89367,1.26919,0.00485523
83,24,4.455,1.76,0.361,-0.363,-2.43459,1.77036,0.837443,0.0216876,-3.41424,0.732428,2.89641,10.6221,17.7036,1.28774e-06,-3.34793,0.00184564,1.54667,0.0214541,0.00843818,0.00450807,-3.40035,0.234587,-1.17582,1.60517,1.49872,0.497329,0.0276784,0.00100935,0.870289,3.51383,1.32957,0.00368635
84,24,4.455,1.98,0.356,-0.182,-2.52468,2.18492,1.35299,0.021668,-0.0914506,6.84197,6.04816,13.1095,21.8492,3.7095e-05,-5.41194,2.8816e-05,13.5299,0.0226365,0.0373663,0.0373663,-3.01611,0.472571,2.96899,4.22326,2.58751,1.09717,0.0287908,0.00250094,1.04742,3.4779,2.13132,0.00563522
85,22,4.455,2,0.36,-0.304,-2.48074,1.89149,0.978345,0.0162219,-0.992484,5.27729,2.00819,3.81173,11.3777,7.53719,-3.91338,1.10126e-08,9.78345,0.017742,0.0245367,0.0245367,-2.73722,0.285132,1.02303,2.24354,1.47422,0.643217,0.0208932,0.000906555,1.12119,4.89315,1.92324,0.00607556
