set,npts,k,QQ,xB,t,ReH_km15,ReE_km15,ReHt_km15,dvcs_km15,fit_ReH,efit_ReH_low,efit_ReH_high,fit_ReE,efit_ReE_low,efit_ReE_high,fit_ReHt,efit_ReHt_low,efit_ReHt_high,fit_dvcs,efit_dvcs_low,efit_dvcs_high,xmi_ReH,exmi_ReH,xmi_ReE,exmi_ReE,xmi_ReHt,exmi_ReHt,xmi_dvcs,exmi_dvcs,sys_ReH,sys_ReE,sys_ReHt,sys_dvcs
47,19,5.75,1.8,0.244,-0.34,-2.91084,1.81615,0.847834,0.0201043,-0.321543,2.88873,4.1545,-0.626318,6.63829,11.5232,5.08535,8.47833,2.9081e-06,0.0323416,0.0246432,0.00615854,0.319456,0.407131,2.03678,3.00802,0.98754,0.750094,0.0250223,0.00243785,0.443451,4.49882,1.75287,0.00231389
48,13,5.75,1.8,0.244,-0.45,-2.78249,1.61191,0.571377,0.0158175,-0.28871,3.65439,5.07049,7.83097,14.2786,1.84048,-2.20318,0.0823263,5.63144,0.0186437,0.00878847,0.0165393,0.468607,0.390898,1.33856,2.80586,1.04317,0.8549,0.0240068,0.00120294,0.620874,3.17519,0.919953,0.0012815
49,24,5.75,2.12,0.244,-0.11,-2.81618,2.39131,1.81901,0.0231275,-0.723624,2.18779,3.71311,14.3479,23.9131,2.51674e-06,8.53418,8.72526,2.37987,0.00405993,0.00372332,0.019639,3.73759,3.06997,5.56709,7.07581,3.21128,3.54716,0.0478118,0.0118875,1.01243,4.19239,2.43479,0.00586856
50,24,5.75,2.12,0.245,-0.15,-2.89479,2.27322,1.59053,0.0201638,5.9522,5.71716,3.94209,12.9134,22.0063,0.725879,-3.24056,3.12155,12.7837,0.048264,0.0232093,0.0358533,4.9459,0.639921,2.42105,6.0843,1.91637,1.28145,0.0555755,0.00376664,0.897284,3.52744,2.46508,0.00499389
51,20,5.75,2.12,0.245,-0.2,-2.94555,2.1375,1.35289,0.0172331,7.58755,5.84215,4.19466,12.825,21.375,5.52386e-06,-4.13364,1.27794,12.251,0.0471908,0.0194912,0.0347428,6.85584,0.700886,2.32296,5.30865,1.69918,0.867363,0.0556042,0.0036812,0.888408,2.50253,2.82077,0.00520258
52,20,5.75,2.12,0.245,-0.26,-2.95413,1.9901,1.11111,0.0145587,8.17362,5.30512,3.64288,11.9406,19.901,9.38427e-08,-2.65747,1.78695,9.3241,0.0592766,0.033511,0.033511,8.31205,0.575928,2.20537,4.82747,1.1392,0.881632,0.063714,0.00274502,2.32425,3.13495,2.65008,0.0112505
53,20,5.75,2.12,0.245,-0.34,-2.90641,1.81615,0.848791,0.0119231,11.6227,3.15165,0.00293437,10.8949,15.9186,0.0019782,-3.39373,0.00143489,8.03833,0.0592149,0.0119704,0.015898,10.034,0.502532,4.89453,2.61432,1.23024,1.29781,0.0584301,0.00331949,0.730059,4.37891,1.42411,0.0035927
54,19,5.75,2.12,0.245,-0.45,-2.77833,1.61191,0.572315,0.00937291,2.375,4.8808,6.88957,9.67134,16.119,0.000115578,-2.28922,4.11515e-05,5.72311,0.023352,0.0191052,0.0133735,4.56642,1.54849,-0.0881904,3.32621,1.81139,0.696097,0.0304786,0.00473632,0.924532,3.40224,1.71156,0.00313579
55,14,5.75,1.94,0.274,-0.11,-2.72104,2.39131,1.75567,0.0308665,3.08102,10.481,1.64896,-9.55987,0.00538242,23.9078,-7.02268,2.02188e-07,17.5567,0.0103989,0.00979269,0.0924638,-1.40712,0.477693,3.92933,6.7277,3.16766,2.07015,0.0393649,0.000157768,1.24051,4.19487,2.68768,0.00914979
56,16,5.75,1.94,0.274,-0.15,-2.78708,2.27322,1.55424,0.0271834,-2.07397,4.64221,3.91307,-6.42795,2.66491,20.0672,3.35008,9.56703,5.97534,0.0185473,0.0179772,0.0338418,-2.70326,0.377421,2.57311,5.78676,3.06782,1.13498,0.0246124,0.00148296,1.84029,5.02445,5.01473,0.0132385
57,22,5.75,1.94,0.274,-0.2,-2.82677,2.1375,1.33383,0.0234927,-2.84492,1.80033,4.54847,1.2487,9.79871,11.5763,7.99972,13.0366,0.00324579,0.0211515,0.0208196,0.00976269,-1.29806,0.271051,1.05529,1.26542,2.91855,0.561395,0.0122203,0.000707399,0.485555,3.39872,2.09265,0.0037772
58,19,5.75,1.94,0.274,-0.26,-2.82935,1.9901,1.10816,0.0200731,-1.01507,4.80868,2.23297,-2.30827,17.0738,17.0738,2.01697,1.45147e-06,11.0816,0.0158304,0.00186598,0.0300308,-1.51427,0.378077,0.879443,3.41353,2.27658,1.04508,0.0186236,0.00149179,0.905122,1.53985,2.32591,0.00419952
59,18,5.75,1.94,0.275,-0.34,-2.77823,1.81615,0.861258,0.0166828,-1.20097,2.64121,4.14528,10.8969,18.1615,2.09131e-05,-0.982519,2.46251,6.15007,0.0125177,0.0118023,0.0146175,-0.59429,0.354559,1.26947,3.37265,1.58771,0.700724,0.0152791,0.0013695,0.475937,2.90985,0.498384,0.00132633
60,14,5.75,1.94,0.275,-0.45,-2.65976,1.61191,0.598903,0.0133229,0.118505,2.76465,3.80635,7.25541,13.703,2.41604,-1.93781,5.05363e-06,5.98903,0.014544,0.00365251,0.013102,0.583555,0.441902,0.87608,1.70582,1.16665,0.56478,0.0185431,0.00120326,0.459013,4.9576,1.3086,0.000631542
61,13,5.75,2.35,0.274,-0.11,-2.72104,2.39131,1.75567,0.0167788,-4.18812,2.31475,4.13366,13.7515,20.7811,20.7811,10.5338,14.5705,0.00026464,0.000226792,4.24868e-07,0.025181,-4.14818,0.435586,1.30492,6.27984,0.12586,1.33701,0.0473968,0.00340284,1.46224,9.76154,3.80015,0.00758378
62,16,5.75,2.35,0.275,-0.15,-2.78315,2.27322,1.55306,0.0147728,-0.472483,3.90321,13.0288,-5.37905,3.71381,19.0183,9.13405,15.3463,0.184299,0.0191813,0.0190029,0.0151052,0.681737,0.306449,4.40724,4.77306,3.85334,0.954427,0.0151839,0.00171761,1.09755,5.23723,2.37133,0.00925907
63,23,5.75,2.35,0.275,-0.2,-2.82281,2.1375,1.3332,0.0127632,1.63888,5.63188,3.62259,-7.47208,21.3277,0.0473404,5.70957,7.58708,7.58708,0.0222354,0.0123444,0.0217304,1.85881,0.450048,3.38809,4.94755,2.28613,0.957191,0.0198514,0.00185863,1.06479,3.86632,1.38785,0.0036873
64,22,5.75,2.35,0.275,-0.26,-2.8252,1.9901,1.10806,0.0109001,2.56463,2.12266,7.08419,11.9406,19.901,1.27671e-05,5.08952,9.52176,1.55885,0.0384486,0.0199145,0.00741024,5.03944,0.566215,2.11224,4.75119,1.3143,0.858074,0.0326351,0.00215083,1.47207,4.2451,0.941636,0.000513727
65,20,5.75,2.35,0.275,-0.34,-2.77823,1.81615,0.861258,0.00903775,6.14719,4.2338,4.9399,-4.94568,16.9768,1.18475,-0.549335,6.39989,6.39989,0.025617,0.00849565,0.0124803,4.65065,0.586519,1.80586,3.98426,1.16216,0.85432,0.0282128,0.00133293,0.889422,5.12731,1.59313,0.00100716
66,20,5.75,2.35,0.275,-0.45,-2.65976,1.61191,0.598903,0.00720488,10.639,3.30707,1.48903e-06,9.66577,16.1134,0.00567681,2.44499,4.8406,1.14843,0.0383876,0.0105223,0.00325832,5.82447,0.255312,0.787198,0.871744,0.914404,0.394877,0.0231153,0.000979492,0.949666,5.19261,0.803204,0.000733843
67,8,5.75,2.08,0.301,-0.12,-2.65451,2.36094,1.66247,0.0239612,-8.06142,7.86561,13.9527,9.98475,19.4285,4.1809,-4.93301,1.71685,14.9078,0.125847,0.125496,0.118726,-9.1074,0.679565,2.93374,6.51776,1.19797,2.96531,0.12137,0.00571046,1.44754,3.2691,4.32441,0.0117604
68,12,5.75,2.1,0.304,-0.15,-2.68174,2.27322,1.52054,0.0213029,-0.358953,5.06619,5.06619,9.35903,18.4519,4.28027,9.08369,15.1659,0.0395667,0.0479575,0.0477457,0.0303031,-3.02118,0.489243,2.41159,6.13819,1.3488,1.75572,0.0307668,0.00305674,0.320757,4.208,1.47602,0.00348309
69,21,5.75,2.1,0.304,-0.2,-2.71141,2.1375,1.31581,0.0185991,0.489798,5.82381,1.8522,12.7854,21.3354,0.0396198,-5.14752,0.115726,13.0424,0.00133636,0.00116433,0.0292187,-1.83066,0.369242,2.68374,4.49484,3.03369,0.979778,0.0141939,0.00146412,1.10658,3.55326,3.65478,0.00499058
